descriptor,model,mean_rmse,std_rmse,mean_mae,std_mae,mean_r2,std_r2
rdkit_phys_props,hgb,0.7989859111463877,0.019842995551502745,0.5883706480655271,0.010017034586890114,0.49030221370759774,0.03588640995127289
rdkit_count_512,svr,0.8009805447197887,0.00612558886647176,0.5925307814659667,0.007062775922270477,0.48840096945907485,0.020297442663126726
morgan_r2_count_512,svr,0.8015411485637772,0.015148596747171356,0.5953067509666058,0.013144597961315315,0.48817642645043674,0.008668505223152106
atom_pair_count_2048,svr,0.8026604408505854,0.023233750156608425,0.5907263177777682,0.021695791369093352,0.48673063966625635,0.018869778981761287
morgan_r2_bits_512,hgb,0.8026972722134349,0.013327952304468735,0.6053639328103848,0.01096236302095992,0.4860084525541303,0.027484163730304306
torsion_count_2048,hgb,0.8054253520722321,0.009693803120248751,0.6088434766567775,0.008323097079696803,0.48291361803737426,0.016185838579915745
morgan_r2_count_1024,rf,0.8060851574832488,0.02273475449668884,0.608190624653029,0.015479387938029011,0.4815699711477993,0.03386853883753397
rdkit_count_2048,hgb,0.8066183239510968,0.00852479586739113,0.6076973732591626,0.009721396238959679,0.48076379133770875,0.029860540610008222
morgan_r2_count_1024,svr,0.8091667672777808,0.015154359601580002,0.5973481022849504,0.012953902172094477,0.47840905920788235,0.00755082773629929
morgan_r1_count_512,svr,0.8100111560417901,0.014664609937154308,0.5961953672708116,0.010002228039983805,0.47687398540474685,0.022339308218098885
morgan_r0_count_1024,svr,0.8125121108095105,0.007441603884198835,0.5874994128528591,0.009958935524277278,0.47340508346556776,0.025193464339427766
morgan_r0_count_2048,svr,0.8125121108095108,0.0074416038841989786,0.5874994128528597,0.009958935524277754,0.47340508346556753,0.025193464339427804
torsion_count_512,hgb,0.8140436665657844,0.008315515193033167,0.6124460092255201,0.008602659276132383,0.47158979127387796,0.021385246171823094
torsion_count_1024,hgb,0.814607445202428,0.007790739531299491,0.6173522837471631,0.007763483693993549,0.4707294804250128,0.02422440559613437
atom_pair_count_2048,rf,0.8152113059518366,0.018040364932034935,0.617087384411005,0.015807024968965848,0.47066033872259644,0.007723468088189592
rdkit_bits_2048,svr,0.8155545863653998,0.011684816565622978,0.6085576932576637,0.008403142797102763,0.4692866918219886,0.02987460400913429
rdkit_count_1024,hgb,0.8157647662843953,0.004387673654859974,0.6189203255190325,0.00795880031977824,0.469117437674445,0.025650461302288628
morgan_r0_count_512,svr,0.8192997257899762,0.006522100605137093,0.5918231987310304,0.009584592928162978,0.46453404412335286,0.02611425596200382
morgan_r0_count_2048,hgb,0.8196650897356875,0.012378851043451981,0.6028977158269118,0.012765728667277085,0.46415957876140396,0.025793489784599093
morgan_r0_count_1024,hgb,0.8196650897356875,0.012378851043451981,0.6028977158269118,0.012765728667277085,0.46415957876140396,0.025793489784599093
morgan_r2_bits_1024,svr,0.8202439185936239,0.015734494915274764,0.6057010418194593,0.014838395317990884,0.4636276454125038,0.022568825524066177
morgan_r1_bits_2048,rf,0.8205875223875513,0.016674753177311742,0.6154741105097293,0.011330216502065664,0.46323952301668037,0.021438589992123606
torsion_bits_2048,hgb,0.8216759785696107,0.011254773240768106,0.6218842788677328,0.00669352066436298,0.4615866873013753,0.024145047911535693
morgan_r2_count_512,rf,0.8216850575817347,0.018537315077140674,0.6202980473618075,0.01176871825269237,0.4614216474231448,0.030765139029023808
morgan_r1_count_1024,svr,0.8234851552665203,0.015419856153666955,0.6022785372542471,0.009339959913021448,0.4594032269708803,0.021649710718533912
morgan_r2_bits_512,svr,0.8237176180685257,0.018401772005117563,0.613031070152397,0.015945167728618308,0.4590287937303034,0.025334465843826735
atom_pair_count_1024,rf,0.8253322976174624,0.015680053947858805,0.6297301456717138,0.014544638412391626,0.4571936656653862,0.0158079735476345
atom_pair_bits_1024,svr,0.825832990191772,0.01650028795584303,0.611281944557374,0.016943260124444824,0.4565816982508437,0.01494614874199554
morgan_r1_bits_1024,rf,0.8260146163074978,0.013718308729908228,0.6226995099471963,0.009399766778182867,0.45611584091969926,0.01977979990376537
atom_pair_bits_1024,hgb,0.8264992933063804,0.01641523329678062,0.6236416326657646,0.016380649643178927,0.4552357400572212,0.027044182773467044
morgan_r0_count_512,hgb,0.8296525218354658,0.012602019506012916,0.6140986643097965,0.006327709012802395,0.4509816608810101,0.02684190108860266
morgan_r1_count_2048,svr,0.8297589540939094,0.01702810928709827,0.6046889756852012,0.008938185097164864,0.451182164950081,0.02176868450327144
torsion_bits_1024,hgb,0.8323437772377072,0.010115709364538424,0.6335494038803926,0.00542941657500433,0.44741335183834663,0.026168199196160948
morgan_r0_count_1024,rf,0.8326252852703775,0.012507961350635068,0.62291395254432,0.008587854295164147,0.4470447277736406,0.026688734600074704
morgan_r2_count_2048,svr,0.8326544629833681,0.016335711278415984,0.6133358734993282,0.014593418781341577,0.4476841136861556,0.009519499947257759
morgan_r0_count_2048,rf,0.8330074262872866,0.01283795321058997,0.6226855871950694,0.009220809779802698,0.4465576425105368,0.026453390088188325
torsion_bits_512,hgb,0.8330279036860405,0.007390123643786359,0.635538332586686,0.009562842515835578,0.44661668396595583,0.022780502161532448
